transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR00148,MM,6,22,2,0,Quality,Pending,MEDIUM
TR00149,MM,1,47,1,3,Development,Approved,HIGH
TR00150,SD,5,74,1,1,Quality,Pending,LOW
TR00151,SD,6,53,0,3,Development,Approved,HIGH
TR00152,MM,6,102,2,3,Production,Pending,HIGH
TR00153,HR,1,43,2,0,Quality,Pending,HIGH
TR00154,SD,5,58,2,2,Development,Rejected,HIGH
TR00155,FI,5,81,1,1,Production,Approved,MEDIUM
TR00156,HR,6,48,2,3,Development,Approved,LOW
TR00157,SD,4,24,0,1,Production,Approved,LOW
TR00158,SD,6,105,2,3,Production,Rejected,HIGH
TR00159,HR,6,22,1,3,Quality,Approved,HIGH
TR00160,MM,4,66,0,2,Development,Rejected,MEDIUM
TR00161,SD,1,60,1,1,Development,Pending,LOW
TR00162,MM,6,91,2,0,Development,Pending,HIGH
TR00163,MM,5,36,0,1,Production,Approved,LOW
TR00164,MM,3,109,0,0,Quality,Approved,MEDIUM
TR00165,SD,2,24,2,0,Development,Approved,HIGH
TR00166,MM,5,51,0,1,Quality,Approved,LOW
TR00167,HR,5,24,2,0,Quality,Pending,HIGH
TR00168,FI,4,74,0,0,Production,Rejected,MEDIUM
TR00169,HR,6,13,0,3,Quality,Pending,HIGH
TR00170,HR,6,66,0,0,Quality,Rejected,LOW
TR00171,MM,3,89,2,2,Quality,Rejected,HIGH
TR00172,HR,5,87,1,0,Production,Approved,MEDIUM
TR00173,MM,4,67,0,3,Quality,Pending,HIGH
TR00174,FI,3,64,1,2,Quality,Approved,MEDIUM
TR00175,HR,1,21,0,0,Quality,Approved,LOW
TR00176,SD,2,81,0,2,Production,Approved,MEDIUM
TR00177,HR,6,16,1,2,Quality,Approved,MEDIUM
TR00178,MM,2,94,1,1,Development,Pending,MEDIUM
TR00179,SD,1,107,1,1,Quality,Rejected,MEDIUM
TR00180,FI,5,94,2,2,Development,Approved,HIGH
TR00181,SD,3,54,0,1,Development,Rejected,LOW
TR00182,FI,2,104,2,0,Development,Rejected,HIGH
TR00183,HR,4,68,1,1,Quality,Pending,LOW
TR00184,FI,1,29,0,0,Production,Approved,LOW
TR00185,HR,4,87,1,3,Quality,Approved,HIGH
TR00186,FI,3,65,0,2,Production,Rejected,MEDIUM
TR00187,SD,1,38,1,0,Development,Approved,LOW
TR00188,MM,2,107,1,2,Quality,Approved,HIGH
TR00189,HR,2,26,1,1,Production,Rejected,LOW
TR00190,SD,1,60,2,0,Quality,Approved,HIGH
TR00191,FI,3,83,1,3,Production,Rejected,HIGH
TR00192,FI,4,12,1,1,Production,Pending,LOW
TR00193,SD,1,65,0,1,Quality,Rejected,LOW
TR00194,FI,4,49,2,2,Development,Pending,HIGH
TR00195,FI,5,91,0,1,Quality,Pending,MEDIUM
TR00196,MM,2,23,0,2,Development,Approved,MEDIUM
TR00197,FI,2,108,2,3,Quality,Rejected,HIGH
TR00198,HR,6,82,2,2,Production,Pending,HIGH
TR00199,FI,4,66,2,2,Quality,Rejected,HIGH
TR00200,FI,3,69,1,0,Development,Pending,MEDIUM
TR00201,FI,6,120,0,3,Quality,Rejected,HIGH
TR00202,FI,4,113,2,1,Quality,Rejected,HIGH
TR00203,MM,1,67,0,2,Production,Approved,MEDIUM
TR00204,MM,1,41,2,3,Quality,Rejected,HIGH
TR00205,MM,3,57,1,3,Quality,Pending,HIGH
TR00206,FI,6,92,1,0,Quality,Approved,MEDIUM
TR00207,HR,3,42,2,1,Quality,Approved,HIGH
TR00208,MM,3,49,2,3,Development,Rejected,HIGH
TR00209,FI,3,81,1,2,Development,Rejected,MEDIUM
TR00210,FI,6,95,1,2,Development,Pending,MEDIUM
TR00211,MM,3,108,1,1,Development,Approved,MEDIUM
TR00212,SD,1,74,2,0,Production,Pending,HIGH
TR00213,MM,5,58,0,1,Development,Rejected,LOW
TR00214,MM,6,66,0,3,Quality,Rejected,HIGH
TR00215,HR,5,46,2,3,Development,Rejected,HIGH
TR00216,HR,2,57,2,3,Quality,Pending,HIGH
TR00217,HR,2,114,0,1,Quality,Approved,MEDIUM
TR00218,SD,5,23,2,0,Quality,Approved,HIGH
TR00219,SD,4,75,0,3,Development,Approved,HIGH
TR00220,SD,1,63,0,3,Production,Pending,HIGH
TR00221,FI,3,38,0,2,Development,Rejected,MEDIUM
TR00222,MM,2,14,1,3,Production,Approved,HIGH
TR00223,HR,4,88,0,0,Development,Pending,MEDIUM
TR00224,MM,5,103,2,3,Development,Pending,HIGH
TR00225,FI,1,40,1,3,Development,Approved,HIGH
TR00226,HR,5,78,0,1,Production,Approved,LOW
TR00227,FI,5,55,0,3,Development,Rejected,HIGH
TR00228,SD,1,77,2,0,Quality,Pending,MEDIUM
TR00229,SD,3,105,0,2,Development,Pending,MEDIUM
TR00230,FI,5,104,1,1,Development,Pending,MEDIUM
TR00231,MM,6,69,2,3,Production,Approved,HIGH
TR00232,FI,6,109,1,0,Quality,Approved,LOW
TR00233,FI,3,49,2,3,Production,Pending,HIGH
TR00234,MM,3,55,0,2,Quality,Approved,MEDIUM
TR00235,HR,4,105,1,3,Quality,Approved,HIGH
TR00236,HR,3,112,2,2,Development,Rejected,HIGH
TR00237,HR,5,115,0,2,Quality,Approved,MEDIUM
TR00238,SD,3,67,2,3,Development,Rejected,HIGH
TR00239,HR,1,103,1,3,Quality,Rejected,HIGH
TR00240,FI,1,95,2,3,Quality,Rejected,HIGH
TR00241,MM,1,28,2,3,Development,Approved,HIGH
TR00242,SD,3,59,2,0,Production,Approved,HIGH
TR00243,SD,3,66,0,1,Production,Pending,LOW
TR00244,SD,2,24,0,1,Quality,Rejected,LOW
TR00245,FI,3,109,1,3,Development,Rejected,HIGH
TR00246,HR,2,25,0,0,Quality,Approved,LOW
TR00247,HR,1,113,2,2,Production,Pending,HIGH
TR00248,SD,3,118,0,1,Quality,Rejected,MEDIUM
TR00249,MM,2,40,1,0,Quality,Rejected,LOW
TR00250,HR,5,26,2,0,Development,Pending,HIGH
TR00251,HR,5,62,1,0,Development,Pending,LOW
TR00252,HR,4,97,2,2,Development,Rejected,HIGH
TR00253,MM,2,65,2,0,Development,Rejected,HIGH
TR00254,MM,2,51,2,1,Quality,Rejected,HIGH
TR00255,FI,3,35,2,2,Development,Rejected,HIGH
TR00256,FI,5,92,0,1,Development,Rejected,MEDIUM
TR00257,SD,5,15,0,0,Development,Rejected,LOW
TR00258,SD,6,36,2,3,Production,Rejected,HIGH
TR00259,SD,6,48,1,1,Production,Pending,LOW
TR00260,FI,6,17,0,3,Quality,Pending,HIGH
TR00261,SD,5,28,1,2,Production,Pending,MEDIUM
TR00262,MM,3,75,2,0,Quality,Approved,HIGH
TR00263,SD,4,41,0,0,Development,Pending,LOW
TR00264,HR,2,120,0,2,Production,Rejected,MEDIUM
TR00265,MM,4,75,1,3,Quality,Pending,MEDIUM
TR00266,HR,2,37,2,2,Development,Approved,HIGH
TR00267,HR,3,78,0,0,Quality,Approved,LOW
TR00268,SD,4,56,0,3,Development,Rejected,HIGH
TR00269,SD,5,46,0,3,Production,Pending,HIGH
TR00270,SD,5,97,2,0,Development,Approved,HIGH
TR00271,SD,5,56,0,1,Production,Rejected,LOW
TR00272,FI,1,14,0,2,Quality,Rejected,MEDIUM
TR00273,MM,3,88,1,1,Quality,Rejected,MEDIUM
TR00274,SD,5,53,2,3,Production,Rejected,HIGH
TR00275,FI,3,52,2,0,Quality,Rejected,HIGH
TR00276,FI,5,70,1,1,Production,Approved,MEDIUM
TR00277,MM,5,90,2,3,Development,Rejected,HIGH
TR00278,FI,2,12,1,2,Quality,Approved,MEDIUM
TR00279,MM,4,74,2,3,Production,Rejected,LOW
TR00280,MM,5,51,2,3,Production,Pending,HIGH
TR00281,MM,4,78,1,2,Production,Rejected,MEDIUM
TR00282,SD,5,71,0,1,Quality,Rejected,LOW
TR00283,SD,3,100,0,3,Quality,Pending,HIGH
TR00284,SD,3,25,2,3,Quality,Pending,HIGH
TR00285,MM,3,15,1,0,Quality,Pending,LOW
TR00286,HR,2,35,2,2,Production,Rejected,HIGH
TR00287,FI,5,104,2,1,Development,Approved,HIGH
TR00288,MM,6,39,0,0,Quality,Pending,LOW
TR00289,FI,6,108,0,0,Production,Approved,MEDIUM
TR00290,HR,4,93,0,2,Quality,Pending,MEDIUM
TR00291,FI,6,83,0,0,Development,Pending,MEDIUM
TR00292,MM,1,117,1,3,Development,Rejected,HIGH
TR00293,SD,1,11,1,0,Quality,Pending,LOW
TR00294,HR,2,118,2,3,Quality,Approved,HIGH
TR00295,SD,2,103,1,2,Production,Approved,MEDIUM
TR00296,SD,5,96,0,1,Production,Rejected,MEDIUM
TR00297,HR,5,51,0,3,Production,Approved,HIGH
TR00298,MM,4,51,0,0,Quality,Pending,LOW
TR00299,SD,3,48,2,0,Quality,Rejected,HIGH
TR00300,MM,1,95,0,3,Quality,Approved,HIGH
TR00301,SD,6,25,2,2,Quality,Rejected,HIGH
TR00302,MM,4,29,1,2,Quality,Rejected,MEDIUM
TR00303,HR,5,112,2,1,Development,Rejected,HIGH
TR00304,FI,5,67,2,2,Development,Rejected,HIGH
TR00305,MM,5,78,0,1,Quality,Rejected,LOW
TR00306,MM,6,84,1,0,Production,Pending,MEDIUM
TR00307,HR,2,75,1,3,Production,Approved,HIGH
TR00308,SD,6,12,1,2,Development,Rejected,MEDIUM
TR00309,FI,1,64,1,0,Production,Approved,MEDIUM
TR00310,FI,4,14,1,3,Development,Approved,HIGH
TR00311,HR,3,58,1,3,Quality,Approved,HIGH
TR00312,MM,6,120,1,0,Development,Rejected,MEDIUM
TR00313,MM,6,38,0,0,Quality,Pending,LOW
TR00314,HR,5,58,0,1,Quality,Pending,LOW
TR00315,MM,6,107,0,0,Production,Pending,MEDIUM
TR00316,FI,2,36,0,0,Production,Approved,LOW
TR00317,FI,2,104,0,3,Quality,Approved,HIGH
TR00318,FI,2,74,1,1,Production,Rejected,MEDIUM
TR00319,SD,2,48,0,1,Quality,Pending,LOW
TR00320,MM,6,96,1,3,Development,Pending,HIGH
TR00321,HR,5,50,2,3,Quality,Approved,HIGH
TR00322,MM,5,70,0,1,Quality,Rejected,LOW
TR00323,HR,1,81,1,3,Production,Rejected,HIGH
TR00324,MM,3,36,1,0,Quality,Pending,LOW
TR00325,MM,1,44,1,0,Development,Approved,LOW
TR00326,MM,4,36,1,2,Development,Approved,MEDIUM
TR00327,FI,6,106,1,1,Production,Rejected,MEDIUM
TR00328,HR,2,80,1,2,Quality,Pending,MEDIUM
TR00329,SD,3,43,1,3,Quality,Approved,HIGH
TR00330,HR,3,36,1,2,Quality,Approved,MEDIUM
TR00331,MM,6,28,0,2,Production,Rejected,MEDIUM
TR00332,HR,3,29,0,2,Development,Pending,MEDIUM
TR00333,MM,4,80,2,2,Quality,Pending,HIGH
TR00334,HR,4,31,2,2,Development,Approved,HIGH
TR00335,HR,2,79,2,0,Production,Approved,HIGH
TR00336,FI,6,16,0,3,Development,Rejected,HIGH
TR00337,MM,1,37,2,3,Quality,Approved,HIGH
TR00338,HR,6,72,0,0,Production,Rejected,LOW
TR00339,FI,5,102,1,2,Development,Rejected,MEDIUM
TR00340,HR,2,23,0,1,Development,Approved,LOW
TR00341,SD,3,44,1,0,Quality,Pending,LOW
TR00342,MM,6,38,1,0,Production,Rejected,LOW
TR00343,FI,4,58,1,3,Development,Rejected,LOW
TR00344,FI,4,118,1,2,Production,Approved,MEDIUM
TR00345,FI,2,37,2,3,Quality,Approved,HIGH
TR00346,SD,5,82,2,0,Development,Pending,LOW
TR00347,MM,6,115,1,0,Quality,Approved,MEDIUM
TR00348,HR,6,79,1,3,Production,Approved,HIGH
TR00349,FI,5,105,1,0,Development,Pending,MEDIUM
TR00350,FI,3,87,2,3,Quality,Approved,HIGH
TR00351,HR,4,39,1,3,Quality,Approved,HIGH
TR00352,HR,1,108,2,2,Development,Rejected,MEDIUM
TR00353,MM,4,101,2,1,Production,Pending,HIGH
TR00354,FI,1,10,1,3,Quality,Pending,HIGH
TR00355,FI,2,65,1,3,Development,Approved,HIGH
TR00356,FI,5,86,1,3,Development,Pending,HIGH
TR00357,FI,6,81,0,1,Production,Pending,MEDIUM
TR00358,SD,3,44,1,1,Development,Approved,LOW
TR00359,HR,3,71,0,2,Quality,Approved,MEDIUM
TR00360,HR,5,88,0,3,Development,Approved,HIGH
TR00361,HR,3,117,2,3,Quality,Pending,HIGH
TR00362,MM,3,51,2,1,Quality,Pending,HIGH
TR00363,HR,3,47,2,3,Production,Approved,HIGH
TR00364,SD,4,56,0,1,Production,Rejected,LOW
TR00365,FI,6,69,2,1,Quality,Pending,HIGH
TR00366,FI,4,96,1,1,Production,Pending,MEDIUM
TR00367,MM,6,64,1,0,Quality,Rejected,LOW
TR00368,HR,5,74,2,3,Production,Approved,HIGH
TR00369,SD,6,113,2,0,Development,Approved,HIGH
TR00370,SD,2,92,2,0,Production,Rejected,HIGH
TR00371,HR,3,111,1,0,Development,Approved,MEDIUM
TR00372,MM,4,57,1,3,Production,Rejected,HIGH
TR00373,MM,3,13,1,0,Quality,Pending,LOW
TR00374,FI,1,116,2,1,Quality,Pending,HIGH
TR00375,MM,5,71,1,3,Development,Pending,HIGH
TR00376,HR,3,18,1,0,Production,Approved,MEDIUM
TR00377,FI,6,112,0,1,Production,Approved,MEDIUM
TR00378,SD,5,64,1,1,Quality,Rejected,LOW
TR00379,HR,4,13,2,1,Quality,Rejected,HIGH
TR00380,FI,6,37,0,2,Production,Approved,MEDIUM
TR00381,MM,3,51,0,3,Development,Pending,HIGH
TR00382,HR,5,91,1,3,Production,Pending,HIGH
TR00383,SD,3,118,1,1,Production,Rejected,MEDIUM
TR00384,FI,6,27,1,0,Development,Pending,LOW
TR00385,SD,6,28,2,3,Quality,Rejected,HIGH
TR00386,HR,4,33,1,1,Production,Approved,LOW
TR00387,MM,2,50,1,0,Quality,Approved,LOW
TR00388,MM,4,81,2,3,Quality,Rejected,HIGH
TR00389,HR,4,31,0,0,Development,Pending,LOW
TR00390,SD,2,109,1,3,Production,Rejected,HIGH
TR00391,FI,3,109,2,2,Production,Approved,HIGH
TR00392,HR,5,37,1,0,Production,Rejected,LOW
TR00393,SD,1,67,1,2,Development,Pending,MEDIUM
TR00394,FI,2,36,2,2,Production,Rejected,HIGH
TR00395,MM,5,27,0,1,Development,Rejected,LOW
TR00396,SD,5,78,0,2,Production,Pending,MEDIUM
TR00397,SD,5,96,0,1,Quality,Approved,MEDIUM
TR00398,MM,6,120,0,1,Development,Rejected,MEDIUM
TR00399,MM,6,60,1,1,Production,Rejected,LOW
TR00400,HR,4,67,0,0,Quality,Rejected,LOW
TR00401,SD,4,72,1,0,Production,Approved,LOW
TR00402,HR,6,95,2,2,Development,Rejected,HIGH
TR00403,HR,2,73,1,2,Quality,Pending,MEDIUM
TR00404,MM,5,119,1,2,Production,Approved,HIGH
TR00405,HR,1,25,0,3,Quality,Approved,HIGH
TR00406,HR,2,98,0,2,Development,Pending,MEDIUM
TR00407,SD,3,20,1,1,Development,Pending,LOW
TR00408,MM,4,93,0,0,Development,Approved,MEDIUM
TR00409,MM,5,38,2,3,Development,Approved,HIGH
TR00410,FI,4,98,0,3,Development,Approved,HIGH
TR00411,FI,1,50,1,2,Development,Pending,MEDIUM
TR00412,MM,6,96,0,0,Production,Rejected,HIGH
TR00413,MM,4,54,2,1,Production,Rejected,HIGH
TR00414,HR,5,97,1,1,Development,Approved,MEDIUM
TR00415,FI,5,103,1,2,Quality,Pending,MEDIUM
TR00416,MM,3,92,0,1,Production,Rejected,MEDIUM
TR00417,SD,6,13,2,2,Development,Rejected,HIGH
TR00418,MM,6,60,1,0,Development,Pending,LOW
TR00419,MM,4,91,2,0,Production,Approved,HIGH
TR00420,SD,2,59,2,3,Quality,Rejected,HIGH
TR00421,HR,1,12,2,0,Development,Pending,HIGH
TR00422,FI,4,74,1,3,Quality,Rejected,HIGH
TR00423,MM,3,20,1,0,Production,Approved,LOW
TR00424,MM,5,51,1,0,Quality,Rejected,LOW
TR00425,MM,1,41,0,3,Development,Pending,HIGH
TR00426,FI,3,95,2,1,Development,Approved,HIGH
TR00427,FI,2,73,1,2,Development,Pending,MEDIUM
TR00428,SD,6,25,0,2,Quality,Pending,MEDIUM
TR00429,SD,6,83,2,0,Quality,Pending,HIGH
TR00430,FI,4,119,2,1,Quality,Approved,HIGH
TR00431,FI,5,96,2,0,Development,Rejected,HIGH
TR00432,FI,1,41,0,3,Quality,Pending,HIGH
TR00433,MM,1,80,2,3,Development,Pending,HIGH
TR00434,SD,3,115,0,2,Development,Rejected,MEDIUM
TR00435,FI,2,38,2,0,Quality,Approved,HIGH
TR00436,SD,3,51,0,3,Development,Pending,HIGH
TR00437,SD,6,89,0,3,Quality,Rejected,HIGH
TR00438,MM,6,79,0,1,Development,Pending,HIGH
TR00439,SD,6,117,2,0,Quality,Approved,HIGH
TR00440,HR,6,103,1,0,Development,Rejected,MEDIUM
TR00441,HR,4,17,0,2,Development,Approved,MEDIUM
TR00442,HR,6,57,1,0,Production,Approved,LOW
TR00443,HR,1,85,2,0,Quality,Rejected,HIGH
TR00444,MM,3,43,1,3,Production,Rejected,HIGH
TR00445,HR,3,39,0,1,Development,Rejected,LOW
TR00446,FI,2,67,1,2,Quality,Approved,MEDIUM
TR00447,MM,4,49,1,2,Development,Approved,MEDIUM
TR00448,SD,6,99,2,0,Development,Pending,HIGH
TR00449,MM,3,60,2,0,Production,Pending,HIGH
TR00450,MM,1,61,1,1,Development,Pending,LOW
TR00451,MM,1,11,0,1,Development,Approved,LOW
TR00452,SD,6,90,2,0,Production,Rejected,HIGH
TR00453,FI,1,18,0,3,Development,Approved,HIGH
TR00454,SD,1,15,1,0,Development,Rejected,LOW
TR00455,HR,4,13,1,3,Development,Pending,HIGH
TR00456,MM,3,45,1,1,Development,Rejected,LOW
TR00457,MM,6,47,1,3,Production,Pending,MEDIUM
TR00458,HR,2,63,0,1,Production,Rejected,LOW
TR00459,HR,6,55,1,3,Quality,Rejected,HIGH
TR00460,HR,3,33,0,2,Production,Approved,MEDIUM
TR00461,FI,4,77,1,1,Development,Approved,MEDIUM
TR00462,MM,3,78,2,0,Development,Rejected,HIGH
TR00463,HR,3,117,0,1,Development,Rejected,MEDIUM
TR00464,SD,5,13,2,2,Production,Rejected,HIGH
TR00465,MM,4,79,1,1,Quality,Approved,LOW
TR00466,MM,5,38,0,3,Development,Pending,HIGH
TR00467,MM,2,53,2,1,Quality,Approved,HIGH
TR00468,MM,1,118,2,2,Development,Pending,HIGH
TR00469,HR,5,22,1,2,Quality,Approved,MEDIUM
TR00470,HR,6,72,2,2,Development,Rejected,HIGH
TR00471,SD,2,95,2,1,Quality,Pending,HIGH
TR00472,SD,2,32,2,0,Production,Rejected,HIGH
TR00473,FI,2,87,1,1,Production,Rejected,MEDIUM
TR00474,HR,2,52,2,0,Development,Pending,HIGH
TR00475,MM,6,21,2,2,Quality,Approved,HIGH
TR00476,MM,6,18,1,2,Development,Rejected,MEDIUM
TR00477,HR,6,63,0,3,Quality,Pending,HIGH
TR00478,HR,1,116,1,1,Development,Pending,LOW
